Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities
1,,Afghanistan,33,65,1/22/20,0,0
2,,Afghanistan,33,65,1/23/20,0,0
3,,Afghanistan,33,65,1/24/20,0,0
4,,Afghanistan,33,65,1/25/20,0,0
5,,Afghanistan,33,65,1/26/20,0,0
6,,Afghanistan,33,65,1/27/20,0,0
7,,Afghanistan,33,65,1/28/20,0,0
8,,Afghanistan,33,65,1/29/20,0,0
9,,Afghanistan,33,65,1/30/20,0,0
10,,Afghanistan,33,65,1/31/20,0,0
11,,Afghanistan,33,65,2/1/20,0,0
12,,Afghanistan,33,65,2/2/20,0,0
13,,Afghanistan,33,65,2/3/20,0,0
14,,Afghanistan,33,65,2/4/20,0,0
15,,Afghanistan,33,65,2/5/20,0,0
16,,Afghanistan,33,65,2/6/20,0,0
17,,Afghanistan,33,65,2/7/20,0,0
18,,Afghanistan,33,65,2/8/20,0,0
19,,Afghanistan,33,65,2/9/20,0,0
20,,Afghanistan,33,65,2/10/20,0,0
21,,Afghanistan,33,65,2/11/20,0,0
22,,Afghanistan,33,65,2/12/20,0,0
23,,Afghanistan,33,65,2/13/20,0,0
24,,Afghanistan,33,65,2/14/20,0,0
25,,Afghanistan,33,65,2/15/20,0,0
26,,Afghanistan,33,65,2/16/20,0,0
27,,Afghanistan,33,65,2/17/20,0,0
28,,Afghanistan,33,65,2/18/20,0,0
29,,Afghanistan,33,65,2/19/20,0,0
30,,Afghanistan,33,65,2/20/20,0,0
31,,Afghanistan,33,65,2/21/20,0,0
32,,Afghanistan,33,65,2/22/20,0,0
33,,Afghanistan,33,65,2/23/20,0,0
34,,Afghanistan,33,65,2/24/20,1,0
35,,Afghanistan,33,65,2/25/20,1,0
36,,Afghanistan,33,65,2/26/20,1,0
37,,Afghanistan,33,65,2/27/20,1,0
38,,Afghanistan,33,65,2/28/20,1,0
39,,Afghanistan,33,65,2/29/20,1,0
40,,Afghanistan,33,65,3/1/20,1,0
41,,Afghanistan,33,65,3/2/20,1,0
42,,Afghanistan,33,65,3/3/20,1,0
43,,Afghanistan,33,65,3/4/20,1,0
44,,Afghanistan,33,65,3/5/20,1,0
45,,Afghanistan,33,65,3/6/20,1,0
46,,Afghanistan,33,65,3/7/20,1,0
47,,Afghanistan,33,65,3/8/20,4,0
48,,Afghanistan,33,65,3/9/20,4,0
49,,Afghanistan,33,65,3/10/20,5,0
50,,Afghanistan,33,65,3/11/20,7,0
51,,Afghanistan,33,65,3/12/20,7,0
52,,Afghanistan,33,65,3/13/20,7,0
53,,Afghanistan,33,65,3/14/20,11,0
54,,Afghanistan,33,65,3/15/20,16,0
55,,Afghanistan,33,65,3/16/20,21,0
56,,Afghanistan,33,65,3/17/20,22,0
57,,Afghanistan,33,65,3/18/20,22,0
58,,Afghanistan,33,65,3/19/20,22,0
59,,Afghanistan,33,65,3/20/20,24,0
60,,Afghanistan,33,65,3/21/20,24,0
61,,Afghanistan,33,65,3/22/20,40,1
62,,Afghanistan,33,65,3/23/20,40,1
63,,Afghanistan,33,65,3/24/20,74,1
94,,Albania,41.1533,20.1683,1/22/20,0,0
95,,Albania,41.1533,20.1683,1/23/20,0,0
96,,Albania,41.1533,20.1683,1/24/20,0,0
97,,Albania,41.1533,20.1683,1/25/20,0,0
98,,Albania,41.1533,20.1683,1/26/20,0,0
99,,Albania,41.1533,20.1683,1/27/20,0,0
100,,Albania,41.1533,20.1683,1/28/20,0,0
101,,Albania,41.1533,20.1683,1/29/20,0,0
102,,Albania,41.1533,20.1683,1/30/20,0,0
