"","a_std","b_std","c_std","region","a","b","c","cluster"
"1",-0.237063601895421,-0.338781047493276,0.330417510700943,"Afghanistan",10000,0.09,78.9978513216812,4
"2",-0.237063601895421,-0.806701405169632,0.706120824546837,"Albania",10000,0.06,85.8825354650014,4
"3",-0.237063601895421,-0.338781047493276,-0.490522176126004,"Algeria",10000,0.09,63.954304362609,4
"4",-0.237063601895421,-0.806701405169632,0.802273033811609,"Andorra",10000,0.06,87.6445044604144,4
"5",-0.237063601895421,-0.338781047493276,0.923707486642607,"Angola",10000,0.09,89.869765247444,4
"6",-0.237063601895421,-0.0268341423757051,0.876193000138051,"Antigua and Barbuda",10000,0.11,88.9990722837133,4
"7",-0.237063601895421,-0.650727952610846,0.064799952493293,"Armenia",10000,0.07,74.1304654781543,4
"8",-0.237063601895421,-0.18280759493449,-0.122883974808137,"Australia",10000,0.1,70.6911970165026,4
"9",-0.237063601895421,-0.338781047493276,-0.305397307044398,"Azerbaijan",10000,0.09,67.3466786210462,4
"10",-0.237063601895421,-0.494754500052061,0.783010148465502,"Bahamas",10000,0.08,87.2915161411489,4
"11",-0.169744777540385,-0.650727952610846,0.773682910824627,"Bahrain",20000,0.07,87.1205964746978,4
"12",-0.237063601895421,-0.494754500052061,0.930811177554443,"Barbados",10000,0.08,89.9999388881264,4
"13",-0.237063601895421,-0.18280759493449,0.721146041382984,"Belize",10000,0.1,86.1578694008213,4
"14",-0.237063601895421,-0.18280759493449,0.744602316354043,"Benin",10000,0.1,86.587700702285,4
"15",-0.237063601895421,0.753033120418222,0.863757993710666,"Bhutan",10000,0.16,88.7712034084129,4
"16",-0.237063601895421,-0.338781047493276,-0.116778204242698,"Bolivia",10000,0.09,70.8030839768925,4
"17",-0.237063601895421,-0.650727952610846,-0.103947506163372,"Bosnia and Herzegovina",10000,0.07,71.0382038184244,4
"18",-0.237063601895421,-0.338781047493276,0.882601714991246,"Botswana",10000,0.09,89.1165106344087,4
"19",-0.237063601895421,-0.494754500052061,0.841329661295574,"Brunei",10000,0.08,88.3602089379126,4
"20",-0.237063601895421,-0.806701405169632,0.337756536091866,"Bulgaria",10000,0.06,79.1323374171566,4
"21",-0.237063601895421,-0.806701405169632,0.618212857922665,"Burkina Faso",10000,0.06,84.2716404806223,4
"22",0.974675236495218,0.12913931018308,0.663689732024031,"Burma",190000,0.12,85.1049946259676,4
"23",-0.237063601895421,-0.0268341423757051,0.668280997485498,"Burundi",10000,0.11,85.1891285991199,4
"24",-0.0351071288303142,0.753033120418222,0.0281367487859046,"Canada",40000,0.16,73.458619987563,4
"25",-0.237063601895421,0.12913931018308,0.848083859271163,"Central African Republic",10000,0.12,88.4839781941041,4
"26",-0.237063601895421,-0.18280759493449,0.488209644837632,"Chad",10000,0.1,81.8893589656013,4
"27",0.0995305198797568,-0.0268341423757051,0.897272400594366,"Congo (Brazzaville)",60000,0.11,89.3853478600097,4
"28",-0.237063601895421,-0.650727952610846,0.757341471806645,"Congo (Kinshasa)",10000,0.07,86.8211430444513,4
"29",-0.237063601895421,-0.806701405169632,0.644730230298574,"Costa Rica",10000,0.06,84.7575657476904,4
"30",-0.237063601895421,-0.338781047493276,-0.434250658945791,"Cote d'Ivoire",10000,0.09,64.9854680701777,4
"31",-0.237063601895421,-0.650727952610846,-0.0408434511584963,"Croatia",10000,0.07,72.1945723434289,4
"32",-0.237063601895421,-0.650727952610846,0.0636047613164988,"Cyprus",10000,0.07,74.1085638514189,4
"33",-0.237063601895421,-1.1186483102872,0.398342966578703,"Diamond Princess",10000,0.04,80.2425710028103,4
"34",-0.237063601895421,-0.338781047493276,0.930811585972275,"Dominica",10000,0.09,89.9999463722972,4
"35",-0.237063601895421,-0.338781047493276,0.0215904375934862,"Egypt",10000,0.09,73.3386602129144,4
"36",-0.237063601895421,-0.338781047493276,-0.298904104747387,"El Salvador",10000,0.09,67.4656651863655,4
"37",0.0322116955247213,0.12913931018308,0.873697603643736,"Equatorial Guinea",50000,0.12,88.9533446682184,4
"38",-0.237063601895421,-0.494754500052061,0.930810966777201,"Eritrea",10000,0.08,89.9999350256778,4
"39",-0.237063601895421,-0.806701405169632,0.257467785144661,"Estonia",10000,0.06,77.6610629562666,4
"40",-0.237063601895421,-0.0268341423757051,0.930812090093384,"Eswatini",10000,0.11,89.9999556102104,4
"41",-0.237063601895421,-0.338781047493276,0.7139649536677,"Ethiopia",10000,0.09,86.0262774800072,4
