"","region","a","b","c"
"1","Afghanistan",10000,0.09,78.9978513216812
"2","Albania",10000,0.06,85.8825354650014
"3","Algeria",10000,0.09,63.954304362609
"4","Andorra",10000,0.06,87.6445044604144
"5","Angola",10000,0.09,89.869765247444
"6","Antigua and Barbuda",10000,0.11,88.9990722837133
"7","Argentina",10000,0.08,57.2771256909891
"8","Armenia",10000,0.07,74.1304654781543
"9","Australia",10000,0.1,70.6911970165026
"10","Austria",20000,0.11,38.0207052004142
"11","Azerbaijan",10000,0.09,67.3466786210462
"12","Bahamas",10000,0.08,87.2915161411489
"13","Bahrain",20000,0.07,87.1205964746978
"14","Bangladesh",10000,0.23,46.6787753173738
"15","Barbados",10000,0.08,89.9999388881264
"16","Belarus",10000,0.2,49.8764456233905
"17","Belgium",40000,0.17,61.164358693143
"18","Belize",10000,0.1,86.1578694008213
"19","Benin",10000,0.1,86.587700702285
"20","Bhutan",10000,0.16,88.7712034084129
"21","Bolivia",10000,0.09,70.8030839768925
"22","Bosnia and Herzegovina",10000,0.07,71.0382038184244
"23","Botswana",10000,0.09,89.1165106344087
"24","Brazil",60000,0.15,49.2667063613896
"25","Brunei",10000,0.08,88.3602089379126
"26","Bulgaria",10000,0.06,79.1323374171566
"27","Burkina Faso",10000,0.06,84.2716404806223
"28","Burma",190000,0.12,85.1049946259676
"29","Burundi",10000,0.11,85.1891285991199
"30","Cabo Verde",10000,0.17,54.666958847925
"31","Cambodia",10000,0.64,89.9999437847472
"32","Cameroon",10000,0.07,54.0096656715191
"33","Canada",40000,0.16,73.458619987563
"34","Central African Republic",10000,0.12,88.4839781941041
"35","Chad",10000,0.1,81.8893589656013
"36","Chile",10000,0.18,33.973835800288
"37","China",80000,0.21,18.1315000392581
"38","Colombia",10000,0.1,47.9541644587285
"39","Congo (Brazzaville)",60000,0.11,89.3853478600097
"40","Congo (Kinshasa)",10000,0.07,86.8211430444513
"41","Costa Rica",10000,0.06,84.7575657476904
"42","Cote d'Ivoire",10000,0.09,64.9854680701777
"43","Croatia",10000,0.07,72.1945723434289
"44","Cuba",10000,0.09,61.5041698545779
"45","Cyprus",10000,0.07,74.1085638514189
"46","Czechia",10000,0.09,14.1520460309811
"47","Denmark",10000,0.11,40.0851887810717
"48","Diamond Princess",10000,0.04,80.2425710028103
"49","Djibouti",10000,0.17,46.1858659174947
"50","Dominica",10000,0.09,89.9999463722972
"51","Dominican Republic",10000,0.11,50.1010765705052
"52","Ecuador",10000,0.18,37.211009584738
"53","Egypt",10000,0.09,73.3386602129144
"54","El Salvador",10000,0.09,67.4656651863655
"55","Equatorial Guinea",50000,0.12,88.9533446682184
"56","Eritrea",10000,0.08,89.9999350256778
"57","Estonia",10000,0.06,77.6610629562666
"58","Eswatini",10000,0.11,89.9999556102104
"59","Ethiopia",10000,0.09,86.0262774800072
"60","Fiji",10000,0.1,85.2616199718166
"61","Finland",10000,0.08,85.7284436839953
"62","France",160000,0.19,70.6108807943809
"63","Gabon",10000,0.11,76.5936051541001
"64","Gambia",10000,0.11,85.8096352023383
"65","Georgia",10000,0.09,86.9777469382501
"66","Germany",150000,0.16,64.6719023390114
"67","Ghana",30000,0.1,70.2600227388765
"68","Greece",10000,0.06,69.3916257879354
"69","Grenada",10000,0.1,86.6269553657706
"70","Guatemala",10000,0.1,72.0163984206876
"71","Guinea",10000,0.12,60.1386915008608
"72","Guinea-Bissau",10000,0.08,89.9947672700537
"73","Guyana",10000,0.1,86.7551656064501
"74","Haiti",10000,0.08,89.9021695858087
"75","Holy See",10000,0.15,88.5256424216515
"76","Honduras",10000,0.07,79.9325148097472
"77","Hungary",10000,0.09,60.940212943911
"78","Iceland",10000,0.05,77.488163483317
"79","India",30000,0.16,78.0970756050143
"80","Indonesia",10000,0.13,43.2612156220219
"81","Iran",90000,0.12,41.1888687249851
"82","Iraq",10000,0.06,81.1309110142867
"83","Ireland",30000,0.12,49.3819641595895
"84","Israel",20000,0.11,49.060475580662
"85","Italy",180000,0.13,57.3078900174108
"86","Jamaica",10000,0.09,83.9279830667065
"87","Japan",20000,0.12,86.9856424568145
"88","Jordan",10000,0.07,87.0601915503207
"89","Kazakhstan",10000,0.1,52.2710822337926
"90","Kenya",10000,0.07,86.995129454031
"91","Korea, South",10000,0.19,42.3533031233014
"92","Kosovo",10000,0.09,56.0880341821446
"93","Kuwait",10000,0.09,71.0941245879484
"94","Kyrgyzstan",10000,0.09,62.785844307827
"95","Laos",10000,0.09,89.9999281194703
"96","Latvia",10000,0.06,87.1003134768285
"97","Lebanon",10000,0.07,89.9999492359966
"98","Liberia",10000,0.12,72.9216791881232
"99","Libya",10000,0.09,82.9905741685919
"100","Liechtenstein",10000,0.1,89.5412677069812
"101","Lithuania",10000,0.07,76.155060209919
"102","Luxembourg",10000,0.07,54.0387071938299
"103","Madagascar",10000,0.07,84.9601266813758
"104","Malawi",10000,0.09,86.1573760499055
"105","Malaysia",10000,0.08,80.0354709721718
"106","Maldives",10000,0.11,89.9999241060528
"107","Mali",280000,0.11,89.7244380880845
"108","Malta",10000,0.07,84.4388311023042
"109","Martinique",10000,0.2,42.5483946909775
"110","Mauritania",10000,0.13,88.4964712248954
"111","Mauritius",10000,0.06,84.787039069803
"112","Mexico",20000,0.13,54.5710341724886
"113","Moldova",10000,0.1,52.3451435319248
"114","Monaco",10000,0.11,88.6782763438751
"115","Mongolia",10000,0.11,89.9999199374563
"116","Montenegro",10000,0.06,87.7501422526811
"117","Morocco",10000,0.1,57.07566857341
"118","Mozambique",10000,0.09,86.4552630491047
"119","MS Zaandam",10000,0.1,87.9305620831687
"120","Namibia",10000,0.11,89.9999185271683
"121","Nepal",10000,0,89.9999217289892
"122","Netherlands",40000,0.13,40.0159499818866
"123","New Zealand",10000,0.07,73.0169177679613
"124","Nicaragua",10000,0.1,89.999917191521
"125","Niger",10000,0.09,53.2495736409255
"126","Nigeria",10000,0.09,81.3128511899253
"127","North Macedonia",10000,0.08,76.9912158751431
"128","Norway",10000,0.09,37.9786527546216
"129","Oman",10000,0.11,72.3405188722339
